,AMAIZE1,AWHEAT1,ABEAN1,AOTHGR1,AFRTVE1,AOTHCR1,AMAIZE2,AWHEAT2,ABEAN2,AOTHGR2,AFRTVE2,AOTHCR2,AMAIZE3,AWHEAT3,ABEAN3,AOTHGR3,AFRTVE3,AOTHCR3,AMAIZE4,AWHEAT4,ABEAN4,AOTHGR4,AFRTVE4,AOTHCR4,ALVSTKA,ADAIRYA,AFVPREA,AWHTMFA,ACORNMA,ASUGARA,AOTHFOA,ALTMN,AINT,AKG,ACD,ACNSTR,APSVC,AOSVC,ACCT,CMAIZE,CWHEAT,CBEAN,COTHGR,CFRTVE,COTHCR,CLVSTKA,CDAIRYA,CFVPREA,CWHTMFA,CCORNMA,CSUGARA,COTHFOA,CLTMN,CINT,CKG,CCD,CCNSTR,CPSVC,COSVC,CCCT,LPRO,LAGRA1,LAGRA2,LAGRA3,LAGRA4,LWCO,LBCO,LUNS,DLAND1,DLAND2,DLAND3,DLAND4,ILAND1,ILAND2,ILAND3,ILAND4,CAPITAL,HHUP,HHUM,HHUR,hhrp1,hhrp2,hhrp3,hhrp4,hhrm1,hhrm2,hhrm3,hhrm4,hhrr1,hhrr2,hhrr3,hhrr4,ENTR,GOVR,PROCAM,ITAX,TTAX,Kaccount,WORLD,Total
AMAIZE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 ,,,,,,,,,,,,,,,,,,,5.37 
AWHEAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.00 ,,,,,,,,,,,1.69 
ABEAN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 ,,,,0.00 ,,,,0.00 ,,,,,,,,,,,1.22 
AOTHGR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.00 ,,,,,,,,,,,1.27 
AFRTVE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 ,,,,0.01 ,,,,0.01 ,,,,,,,,,,,12.19 
AOTHCR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.00 ,,,,,,,,,,,8.86 
AMAIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26 ,,,,0.64 ,,,,0.01 ,,,,,,,,,,5.68 
AWHEAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 
ABEAN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 ,,,,0.04 ,,,,,,,,,,,,,,3.40 
AOTHGR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,,,,,,,,,,,3.28 
AFRTVE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 ,,,,0.10 ,,,,,,,,,,,,,,8.87 
AOTHCR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 ,,,,0.01 ,,,,,,,,,,,,,,11.16 
AMAIZE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78 ,,,,0.17 ,,,,0.01 ,,,,,,,,,11.36 
AWHEAT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67 
ABEAN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 ,,,,0.03 ,,,,0.01 ,,,,,,,,,0.60 
AOTHGR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.01 ,,,,,,,,,1.44 
AFRTVE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 ,,,,0.02 ,,,,,,,,,,,,,8.95 
AOTHCR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.01 ,,,,,,,,,11.62 
AMAIZE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21 ,,,,0.37 ,,,,0.09 ,,,,,,,,5.31 
AWHEAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,,,,,,,,,,,,,0.04 
ABEAN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 ,,,,0.03 ,,,,0.01 ,,,,,,,,0.55 
AOTHGR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.00 ,,,,0.00 ,,,,,,,,0.69 
AFRTVE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10 ,,,,0.04 ,,,,0.04 ,,,,,,,,7.36 
AOTHCR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,,,0.02 ,,,,0.00 ,,,,,,,,11.74 
ALVSTKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.37 
ADAIRYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58 
AFVPREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34 
AWHTMFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59 
ACORNMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06 
ASUGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04 
AOTHFOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.40 
ALTMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.68 
AINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.35 
AKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.01 
ACD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.78 
ACNSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.69 
APSVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.88 
AOSVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.17 
ACCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.72 
CMAIZE,0.07 ,,,,,,0.07 ,,,,,,0.15 ,,,,,,0.07 ,,,,,,2.44 ,,,,13.22 ,,1.90 ,,,,,,0.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39 ,1.04 ,0.38 ,0.09 ,3.53 ,1.48 ,3.54 ,0.00 ,0.93 ,0.67 ,0.95 ,,0.14 ,0.22 ,,,0.10 ,,,,0.12 ,0.34 ,31.84 
CWHEAT,,0.24 ,,,,,,0.05 ,,,,,,0.09 ,,,,,,0.00 ,,,,,,,,8.31 ,0.10 ,,1.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 ,0.19 ,0.12 ,0.21 ,0.06 ,0.02 ,0.02 ,0.08 ,0.03 ,0.03 ,0.02 ,0.01 ,,0.02 ,,,,,,,-8.24 ,0.16 ,2.74 
CBEAN,,,0.01 ,,,,,,0.02 ,,,,,,0.00 ,,,,,,0.00 ,,,,,,0.02 ,,,,0.17 ,,,,,,0.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54 ,1.03 ,0.46 ,0.12 ,0.40 ,0.26 ,0.45 ,0.04 ,0.13 ,0.18 ,0.13 ,0.02 ,0.01 ,0.20 ,0.02 ,,0.02 ,,,,0.05 ,2.20 ,6.51 
COTHGR,,,,0.01 ,,,,,,0.03 ,,,,,,0.01 ,,,,,,0.00 ,,,6.40 ,,,0.04 ,,,3.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64 ,3.12 ,4.48 ,0.28 ,0.17 ,0.29 ,0.49 ,0.15 ,0.07 ,0.09 ,0.15 ,0.00 ,0.00 ,0.51 ,0.00 ,,,,,,-13.39 ,0.02 ,6.67 
CFRTVE,,,0.03 ,,0.28 ,,,,0.07 ,,0.17 ,,,,0.01 ,,0.17 ,,,,0.01 ,,0.13 ,,0.02 ,,2.39 ,,,,0.53 ,0.00 ,0.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11 ,8.52 ,5.56 ,0.42 ,1.43 ,0.84 ,0.85 ,0.27 ,0.58 ,0.90 ,0.53 ,0.14 ,0.04 ,0.66 ,0.30 ,,,,,,,11.39 ,39.36 
COTHCR,0.36 ,0.05 ,0.01 ,0.01 ,,0.31 ,0.36 ,0.01 ,0.02 ,0.03 ,,0.19 ,0.74 ,0.02 ,0.00 ,0.01 ,,0.18 ,0.33 ,0.00 ,0.00 ,0.00 ,,0.23 ,7.91 ,,,,,7.22 ,8.08 ,4.72 ,0.36 ,0.41 ,0.04 ,,0.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 ,0.48 ,0.39 ,0.02 ,0.08 ,0.03 ,0.04 ,0.04 ,0.04 ,0.05 ,0.07 ,0.01 ,,0.03 ,0.01 ,,0.08 ,,,,-2.05 ,21.35 ,52.78 
CLVSTKA,,,,,,0.00 ,,,,,,0.00 ,,,,,,0.00 ,,,,,,0.00 ,0.17 ,34.63 ,0.04 ,0.79 ,0.18 ,,24.74 ,3.23 ,0.37 ,,0.76 ,,0.28 ,0.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09 ,7.06 ,4.45 ,0.31 ,0.90 ,0.90 ,1.71 ,0.18 ,0.29 ,0.84 ,0.79 ,0.33 ,0.02 ,0.47 ,0.31 ,,0.04 ,,,,0.14 ,3.29 ,90.32 
CDAIRYA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 ,0.10 ,,,0.63 ,,,,,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07 ,25.10 ,17.22 ,1.23 ,2.91 ,1.91 ,2.06 ,0.82 ,0.90 ,2.09 ,1.41 ,0.51 ,0.08 ,2.44 ,0.69 ,,0.00 ,,,,2.02 ,0.38 ,70.63 
CFVPREA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 ,0.26 ,,,0.24 ,,,,,,0.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81 ,2.23 ,1.69 ,0.26 ,0.51 ,0.32 ,0.25 ,0.16 ,0.21 ,0.33 ,0.18 ,0.05 ,,0.23 ,0.08 ,,0.01 ,,,,0.36 ,6.09 ,14.76 
CWHTMFA,,,,,,,,,,,,,,,,,,,,,,,,,1.21 ,,,4.60 ,,,0.37 ,,,,,,0.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89 ,10.97 ,7.71 ,0.43 ,1.77 ,0.92 ,1.42 ,0.25 ,0.50 ,0.95 ,0.80 ,0.39 ,0.05 ,0.70 ,0.35 ,,,,,,0.76 ,2.64 ,40.85 
CCORNMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03 ,,0.03 ,,,,,,0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22 ,7.84 ,3.81 ,1.04 ,2.58 ,1.52 ,2.33 ,0.63 ,0.75 ,1.98 ,1.18 ,1.50 ,0.10 ,2.04 ,0.51 ,,,,,,0.38 ,0.25 ,50.82 
CSUGARA,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,,0.39 ,1.96 ,,0.72 ,3.14 ,1.11 ,0.37 ,,0.34 ,,0.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03 ,1.31 ,0.51 ,0.34 ,1.23 ,0.55 ,1.64 ,0.16 ,0.36 ,0.56 ,0.53 ,0.03 ,0.03 ,0.45 ,0.11 ,,0.01 ,,,,0.05 ,2.67 ,19.68 
COTHFOA,,,,,,,,,,,,,,,,,,,,,,,,,17.99 ,2.05 ,0.34 ,3.76 ,,,18.08 ,2.62 ,0.78 ,,1.83 ,,1.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18 ,46.37 ,36.15 ,3.34 ,7.01 ,3.79 ,5.77 ,2.34 ,2.32 ,4.29 ,3.24 ,1.44 ,0.43 ,2.96 ,1.46 ,,0.09 ,,,,4.96 ,21.10 ,211.99 
CLTMN,0.03 ,0.04 ,0.00 ,0.03 ,0.07 ,0.03 ,0.03 ,0.01 ,0.01 ,0.07 ,0.04 ,0.05 ,0.06 ,0.02 ,0.00 ,0.03 ,0.04 ,0.04 ,0.02 ,0.00 ,0.00 ,0.01 ,0.03 ,0.06 ,1.39 ,0.05 ,0.09 ,0.60 ,0.07 ,0.07 ,4.73 ,54.66 ,3.23 ,5.67 ,21.53 ,7.65 ,7.92 ,5.30 ,7.21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29 ,32.21 ,35.57 ,2.08 ,4.75 ,2.22 ,3.02 ,1.47 ,2.11 ,3.04 ,2.08 ,1.30 ,0.49 ,2.79 ,1.32 ,,1.80 ,,,,10.41 ,76.98 ,315.84 
CINT,0.50 ,0.33 ,0.06 ,0.29 ,0.96 ,0.62 ,0.50 ,0.06 ,0.17 ,0.77 ,0.59 ,0.62 ,1.01 ,0.13 ,0.03 ,0.30 ,0.58 ,0.60 ,0.46 ,0.00 ,0.03 ,0.11 ,0.46 ,0.77 ,0.97 ,0.06 ,0.51 ,0.11 ,0.25 ,0.29 ,5.17 ,21.62 ,62.37 ,33.33 ,30.08 ,21.50 ,12.34 ,5.05 ,19.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10 ,0.50 ,0.80 ,0.04 ,0.03 ,0.01 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.01 ,0.04 ,0.01 ,,1.46 ,,,,6.75 ,88.73 ,321.72 
